date,district,grade,highest_price_rs_kg,average_price_rs_kg
23.02.2016,Matara,Alba,2150.0,2112.0
23.02.2016,Badulla,C-4,1500.0,1500.0
23.02.2016,Colombo,C-4,1650.0,1650.0
23.02.2016,Galle,C-4,1630.0,1625.0
23.02.2016,Colombo,C-5 Sp,1800.0,1800.0
23.02.2016,Kalutara,Alba,2000.0,2000.0
23.02.2016,Ratnapura,H-2,1200.0,1033.0
23.02.2016,Kalutara,C-5 Sp,1650.0,1610.0
23.02.2016,Ratnapura,M-4,1300.0,1250.0
23.02.2016,Galle,Alba,2200.0,2150.0
23.02.2016,Kalutara,H-2,1110.0,1000.0
23.02.2016,Hambantota,Alba,2100.0,2100.0
23.02.2016,Kalutara,H-1,1100.0,1100.0
23.02.2016,Ratnapura,C-5,1600.0,1600.0
23.02.2016,Hambantota,C-5,1600.0,1600.0
23.02.2016,Badulla,Gorosu,900.0,769.0
23.02.2016,Matara,H-1,1500.0,1497.0
23.02.2016,Colombo,C-5,1700.0,1700.0
23.02.2016,Galle,H-1,1510.0,1505.0
23.02.2016,Colombo,H-1,1550.0,1550.0
23.02.2016,Colombo,H-2,1500.0,1500.0
23.02.2016,Gampaha,C-4,1500.0,1175.0
23.02.2016,Gampaha,Gorosu,1300.0,1000.0
23.02.2016,Matara,C-5 Sp,1800.0,1775.0
23.02.2016,Matara,C-4,1600.0,1590.0
23.02.2016,Kalutara,C-5,1500.0,1500.0
23.02.2016,Kalutara,C-4,1400.0,1360.0
23.02.2016,Kalutara,M-5,1260.0,1250.0
23.02.2016,Kalutara,M-4,1160.0,1150.0
23.02.2016,Matara,H-Faq,1400.0,1350.0
01.03.2016,Matara,H-1,1530.0,1520.0
01.03.2016,Average Price,Heen,1300.0,1050.0
01.03.2016,Average Price,H-Faq,1400.0,1360.0
01.03.2016,Average Price,H-2,1520.0,1169.88
01.03.2016,Average Price,Gorosu,1300.0,891.67
01.03.2016,Matara,Alba,2150.0,2093.0
01.03.2016,Hambantota,C-5,1650.0,1625.0
01.03.2016,Matara,C-5,1700.0,1628.0
01.03.2016,Average Price,M-5,1600.0,1318.67
01.03.2016,Average Price,C-5 Sp,1850.0,1734.2
01.03.2016,Average Price,Alba,2200.0,2069.0
01.03.2016,Monaragala,Gorosu,900.0,900.0
01.03.2016,Matara,H-Faq,1400.0,1360.0
01.03.2016,Galle,C-5 Sp,1850.0,1825.0
01.03.2016,Hambantota,C-4,1650.0,1625.0
01.03.2016,Hambantota,H-2,1520.0,1510.0
01.03.2016,Hambantota,H-1,1500.0,1490.0
01.03.2016,Galle,C-4,1650.0,1630.0
01.03.2016,Galle,H-1,1530.0,1510.0
01.03.2016,Galle,H-2,1490.0,1480.0
01.03.2016,Average Price,H-1,1530.0,1300.0
01.03.2016,Average Price,M-4,1550.0,1267.0
01.03.2016,Matara,H-2,1520.0,1463.0
01.03.2016,Average Price,C-4,1650.0,1507.88
01.03.2016,Average Price,C-5,1700.0,1602.71
01.03.2016,Matara,C-5 Sp,1800.0,1750.0
01.03.2016,Matara,C-4,1620.0,1592.0
01.03.2016,Matara,M-5,1600.0,1590.0
01.03.2016,Matara,M-4,1550.0,1540.0
01.03.2016,Galle,C-5,1680.0,1650.0
01.03.2016,Galle,Alba,2200.0,2150.0
01.03.2016,Kalutara,H-2,1000.0,965.0
